"order_id","order_item_id","product_id","seller_id","shipping_limit_date","price","freight_value"
fff6889749958e42b47a7977a4cf0ea0,1,"75f6a4f019ec1322758d53b2fee2cc12","058cb5aeb36d7c0fcae20fc85d5e0a59",2017-10-01 22:56:15,92.00,31.60
fff6b8ca971f8e3ec822e99d0f2d3d21,1,"9afaad66aca8b0c79e4f084a89c9c92b","42bde9fef835393bb8a8849cb6b7f245",2017-09-21 12:04:29,199.00,16.83
fff7c4452f050315db1b3f24d9df5fcd,1,dd469c03ad67e201bc2179ef077dcd48,"7e93a43ef30c4f03f38b393420bc753a",2017-06-07 17:05:23,736.00,20.91
fff8286f77788ab8b55b2e5747fa7dd8,1,a2da86fa759178e9e58e54aa1a144e59,ea8482cd71df3c1969d7b9473ff13abc,2018-07-05 22:31:13,24.99,15.28
fff8287bbae429a99bb7e8c21d151c41,1,bee2e070c39f3dd2f6883a17a5f0da45,"4e922959ae960d389249c378d1c939f5",2018-03-27 12:29:22,180.00,48.14
fff8287bbae429a99bb7e8c21d151c41,2,bee2e070c39f3dd2f6883a17a5f0da45,"4e922959ae960d389249c378d1c939f5",2018-03-27 12:29:22,180.00,48.14
fff90cdcb3b2e6cfb397d05d562fd3fe,1,"764292b2b0f73f77a0272be03fdd45f3",bd23da7354813347129d751591d1a6e2,2017-11-30 10:11:28,89.90,11.83
fffa82886406ccf10c7b4e35c4ff2788,1,bbe7651fef80287a816ead73f065fc4b,"8f2ce03f928b567e3d56181ae20ae952",2017-12-22 17:31:42,229.90,44.02
fffb0b1a50e65c449020434fa835e078,1,e7be84ea9462aac5e2b0b08eb35ba7f1,"36a968b544695394e4e9d7572688598f",2017-04-28 16:45:12,4.90,10.96
fffb2ef8874127f75b52b643880fd7e0,1,ebceb9726cf5c6187b48e17fe58747b0,"609e1a9a6c2539919b8205cf7c4e6ff0",2018-04-09 05:08:33,17.90,22.06
fffb9224b6fc7c43ebb0904318b10b5f,1,"43423cdffde7fda63d0414ed38c11a73",b1fc4f64df5a0e8b6913ab38803c57a9,2017-11-03 02:55:58,55.00,34.19
fffb9224b6fc7c43ebb0904318b10b5f,2,"43423cdffde7fda63d0414ed38c11a73",b1fc4f64df5a0e8b6913ab38803c57a9,2017-11-03 02:55:58,55.00,34.19
fffb9224b6fc7c43ebb0904318b10b5f,3,"43423cdffde7fda63d0414ed38c11a73",b1fc4f64df5a0e8b6913ab38803c57a9,2017-11-03 02:55:58,55.00,34.19
fffb9224b6fc7c43ebb0904318b10b5f,4,"43423cdffde7fda63d0414ed38c11a73",b1fc4f64df5a0e8b6913ab38803c57a9,2017-11-03 02:55:58,55.00,34.19
fffbee3b5462987e66fb49b1c5411df2,1,"6f0169f259bb0ff432bfff7d829b9946","213b25e6f54661939f11710a6fddb871",2018-06-28 09:58:03,119.85,20.03
fffc94f6ce00a00581880bf54a75a037,1,"4aa6014eceb682077f9dc4bffebc05b0",b8bc237ba3788b23da09c0f1f3a3288c,2018-05-02 04:11:01,299.99,43.41
fffcd46ef2263f404302a634eb57f7eb,1,"32e07fd915822b0765e448c4dd74c828",f3c38ab652836d21de61fb8314b69182,2018-07-20 04:31:48,350.00,36.53
fffce4705a9662cd70adb13d4a31832d,1,"72a30483855e2eafc67aee5dc2560482",c3cfdc648177fdbbbb35635a37472c53,2017-10-30 17:14:25,99.90,16.95
fffe18544ffabc95dfada21779c9644f,1,"9c422a519119dcad7575db5af1ba540e","2b3e4a2a3ea8e01938cabda2a3e5cc79",2017-08-21 00:04:32,55.99,8.72
fffe41c64501cc87c801fd61db3f6244,1,"350688d9dc1e75ff97be326363655e01",f7ccf836d21b2fb1de37564105216cc1,2018-06-12 17:10:13,43.00,12.79
